sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
42596;REX;Galletitas Rex Original Tubo 75 Gr;352.0;;;4693.33;1;kg;2023-12-27 14:41:54.478
338134;CUISINE & CO NBE MP;Fideos Dedalitos C&c;879.0;;;1758.0;1;kg;2023-12-27 14:41:54.478
386813;LACTAL;Pan De Pancho Lactal X 210g;826.0;;;3933.33;1;kg;2023-12-27 14:41:54.478
325710;CUISINE & CO NBE MP;Papas Fritas Corte Americano C& Co 150gr.;1680.0;;;11200.0;1;kg;2023-12-27 14:41:54.478
395382;LAY´S;Papas Lays Cheddar X77g;1588.0;;;22685.71;1;kg;2023-12-27 14:41:54.478
350361;Molinos Ala;Arroz Molinos Ala Ita Caabó Largo Fino 1k;1766.0;;;1766.0;1;kg;2023-12-27 14:41:54.478
344847;MAGGI;Caldo Maggi Verduras X57g;160.34;;;2812.98;1;kg;2023-12-27 14:41:54.478
336664;LA VIRGINIA;Te La Virginia Naturalidad Intacta X50s;1249.0;;;24.98;1;un;2023-12-27 14:41:54.478
389439;BIMBO;Vainillas Bimbo X 36u;1839.0;;;4132.58;1;kg;2023-12-27 14:41:54.478
2961;CELUSAL;Sal Fina Celusal 500 Gr;454.0;;;908.0;1;kg;2023-12-27 14:41:54.478
